147	3125	4984	2	[0.43 - 0.53 - 0.02 - 0.02]
148	3577	4978	4	[0.00 - 0.01 - 0.16 - 0.82]
149	2160	4980	1	[0.87 - 0.12 - 0.00 - 0.02]
150	2135	4975	1	[0.34 - 0.29 - 0.04 - 0.33]
151	2520	4967	4	[0.32 - 0.19 - 0.11 - 0.38]
152	3193	4965	1	[0.57 - 0.29 - 0.02 - 0.12]
153	3553	4962	4	[0.04 - 0.07 - 0.20 - 0.69]
154	3592	4906	4	[0.01 - 0.04 - 0.35 - 0.61]
155	3576	4939	3	[0.06 - 0.38 - 0.49 - 0.06]
156	3585	4928	3	[0.01 - 0.13 - 0.45 - 0.42]
157	3326	4956	2	[0.28 - 0.66 - 0.04 - 0.02]
158	3506	4949	1	[0.34 - 0.28 - 0.05 - 0.33]
159	2815	4925	4	[0.01 - 0.02 - 0.20 - 0.78]
160	2814	4933	3	[0.00 - 0.05 - 0.66 - 0.28]
161	3390	4930	1	[0.98 - 0.02 - 0.00 - 0.00]
162	3649	4932	1	[0.38 - 0.35 - 0.12 - 0.15]
163	2434	4907	2	[0.12 - 0.75 - 0.08 - 0.05]
164	2425	4919	3	[0.00 - 0.06 - 0.83 - 0.11]
165	2429	4915	2	[0.15 - 0.61 - 0.22 - 0.02]
166	3447	4926	1	[0.66 - 0.27 - 0.01 - 0.07]
167	3523	4916	1	[0.47 - 0.46 - 0.02 - 0.04]
168	3401	4912	1	[0.65 - 0.31 - 0.01 - 0.04]
169	3296	4908	1	[0.99 - 0.01 - 0.00 - 0.00]
170	3662	4900	4	[0.00 - 0.03 - 0.42 - 0.55]
171	3493	4900	1	[0.90 - 0.10 - 0.00 - 0.00]
172	3390	4896	1	[0.98 - 0.02 - 0.00 - 0.00]
173	3702	4892	1	[0.95 - 0.04 - 0.00 - 0.01]
174	3670	4888	4	[0.00 - 0.02 - 0.24 - 0.74]
175	2428	4873	3	[0.02 - 0.17 - 0.54 - 0.27]
176	3635	4851	3	[0.05 - 0.38 - 0.52 - 0.05]
177	3832	4861	1	[0.60 - 0.15 - 0.02 - 0.23]
178	3560	4859	1	[0.77 - 0.20 - 0.00 - 0.02]
179	3327	4852	1	[0.86 - 0.12 - 0.00 - 0.02]
180	4290	4850	4	[0.00 - 0.00 - 0.01 - 0.99]
181	3687	4850	4	[0.00 - 0.02 - 0.17 - 0.81]
182	2287	4844	2	[0.17 - 0.51 - 0.10 - 0.22]
183	3676	4838	4	[0.00 - 0.01 - 0.27 - 0.72]
184	3669	4835	4	[0.00 - 0.01 - 0.13 - 0.87]
185	3728	4840	1	[0.35 - 0.35 - 0.03 - 0.27]
186	3394	4834	1	[0.85 - 0.07 - 0.00 - 0.08]
187	3231	4835	1	[0.65 - 0.30 - 0.01 - 0.03]
188	3666	4809	4	[0.00 - 0.01 - 0.15 - 0.84]
189	3661	4827	4	[0.01 - 0.03 - 0.23 - 0.73]
190	3664	4822	4	[0.00 - 0.01 - 0.08 - 0.91]
191	3656	4819	4	[0.00 - 0.02 - 0.22 - 0.75]
192	3656	4811	3	[0.01 - 0.15 - 0.51 - 0.34]
193	3659	4806	4	[0.00 - 0.02 - 0.11 - 0.86]
194	3087	4827	1	[0.98 - 0.02 - 0.00 - 0.01]
195	3586	4822	4	[0.09 - 0.28 - 0.21 - 0.42]
196	3639	4744	4	[0.00 - 0.01 - 0.10 - 0.89]
197	3653	4794	3	[0.00 - 0.16 - 0.68 - 0.15]
198	3658	4788	2	[0.06 - 0.81 - 0.10 - 0.04]
199	3690	4810	4	[0.00 - 0.02 - 0.22 - 0.76]
200	3544	4812	1	[0.94 - 0.05 - 0.00 - 0.01]
201	2361	4808	4	[0.06 - 0.06 - 0.07 - 0.81]
202	3600	4784	4	[0.00 - 0.00 - 0.03 - 0.97]
203	3585	4798	4	[0.00 - 0.01 - 0.05 - 0.94]
204	3594	4793	4	[0.00 - 0.01 - 0.16 - 0.83]
205	3696	4798	4	[0.00 - 0.01 - 0.08 - 0.91]
206	3390	4785	1	[0.46 - 0.20 - 0.02 - 0.32]
